tran_id,first_name,last_name,tran_date,gender,tran_value,tran_hash,tran_lat,tran_long,tran_type,tran_status
13Hd8QJ8HudP7FpBQEdJCAh5X77b1Xaw4w,Hamish,Lackney,2017/08/06,Male,282.23,902333f4266a7a5169dff64ebae42c8d,25.941937,117.365052,Kiwano,1
17cZCVzrg7iNCUGircG2Ztqb34Dd7F348W,Clare,Djekic,2018/05/08,Male,13.65,949e4080be65868200ae47353c63b2bf,43.0745339,-89.3805579,"Bag - Bread, White, Plain",4
1NoyL1rfxjyG8vwhXP46TQArPGXFecdFYg,Jerrie,Simmill,2017/11/13,Female,102.85,f2a521c2d954050fa8cdac83a5311ec6,32.930738,106.908966,Amarula Cream,5
1NoxjLFMCsFx2Mnt7i2yQpPtH2re4NU3Y9,Mikkel,Sreenan,2018/01/05,Male,67.93,d20bcd7c653f5677db7934f4c2221de3,8.3375063,-82.5510469,Coffee - Espresso,1
1E3AUUw5uvupCmGUKtk57ovecUygFhZJuf,Vernon,Champ,2017/11/18,Male,101.0,1d8979b666803580620d9a233e98b1cf,-6.1078857,106.7791791,Hot Choc Vending,5
13NGtpgntwge365NP8RAVFF9jk3KuTNymJ,Carver,Scheu,2017/01/22,Male,-18.42,1e52c0c2da4a90a772d2fcf67d794e6e,31.294176,121.320622,Tuna - Bluefin,1
14QMNGrizxhtbqJPS6p22j8o3iXNYb48Wr,Min,Tousey,2017/09/26,Female,175.74,58893c98a4ff821a0bf353ac605a4fa8,51.8761178,104.8423232,Steampan - Foil,5
1MUzTZyx2EmuU1TZAam27H69AxzhuPuBrp,Ibby,Adamsky,2018/06/28,Female,120.7,cef5d796c9fa5b3082334cec097d5d07,59.1991816,17.8353702,Sherbet - Raspberry,4
1BHEYr1vVm4V8pzvhvgyDBS2Lyrn6ZyP2K,Lonna,Valerio,2018/04/23,Female,81.58,8bd73170fb6afbea08c22d03872a1ff0,19.3803931,-99.1476908,Gatorade - Lemon Lime,3
16sG4tZuqgVAKNpUddJF8TWgx3kr7HBmt3,Farah,Berrey,2017/08/25,Female,115.97,25c43c7c94047c1a91f01d837ba9ecaf,47.9318074,5.2893597,Syrup - Monin - Granny Smith,1
13taAm6WD8kBarXzRBadQ9YA6TwEeSheu3,Edi,Challenor,2017/05/01,Female,138.45,435dc0a12dcb77765f7c12858ea582a4,38.8148898,141.5661378,Wine - Toasted Head,3
18dvWttSbMP86hZXQaEVztVuPJfMpESMeQ,Joela,Raggett,2018/05/10,Female,179.31,b419c61d2840d68eb40c98a59e805132,50.98317,-118.2023,"Crab - Claws, Snow 16 - 24",3
1GRRiEW23Quig8jV3mARsB78G2CXUu3zYM,Angelico,Schroter,2017/08/24,Male,148.55,2bfecbede22f14f034d28250b921cd2c,45.8266432,20.5937585,Butcher Twine 4r,4
1FM1Wess6ji4gJ42zyY6YeVUPDcfa9bQNN,Coleen,Loosely,2017/11/11,Female,27.55,3cf2686a6838c48d085ca0b57fe39ef8,19.1527452,101.1539414,Lettuce - Green Leaf,3
1H6c533gU5JL69EEpk3daoHByifXEtg2K6,Jessey,Stapele,2017/02/08,Male,-5.96,334f52f03c8c45f490ece6263ed0a58c,11.4522433,-85.8050987,"Wine - Red, Gallo, Merlot",3
13kK5gY3DNiKrEBJtkAihET6iMoDFnXJT6,Phillis,Berwick,2017/01/08,Female,209.56,8b60f7263249e3fcad16a6c03c6e4aa7,10.2343685,-64.591805,Dehydrated Kelp Kombo,2
1GjNbeCYVLjo648Fz6koKbjTdmjGroaUQg,Jasen,Batts,2017/01/31,Male,170.31,ee4b6a226f8fb3a7e1f54ed8dae51d5a,62.6274285,23.8122978,Tamarillo,3
12HetTFbZvrwfQP71rx8SM9coikzhMBaKB,Arlene,De Carolis,2017/11/03,Female,52.36,5c2d75d0a48ed6957d63416350e4e411,6.1244023,100.3674801,Lettuce - Treviso,4
14LkhLGCmwsC2xJTVtJ3ECBMLJPujtZadh,Shir,Thwaites,2017/08/30,Female,46.11,ca47fe93c542d3ae86f07c2ec6ee1267,39.8116909,113.1029629,Broom And Broom Rack White,4
1NhxdTSkkPVS6sS6rLahzozQ6ZsjmZYgB7,Abigail,Legan,2018/03/04,Female,111.97,5d0d4f56cab14f63b88dd88526d5ebb5,40.7134512,22.0009405,Wine - Baron De Rothschild,4
159wuVDBD4q6QZG6FT3PUDCpMJjNpCsUYv,Dniren,Hoyes,2018/05/16,Female,173.48,da36e341bf2be7f5d326286ecdecff71,49.1112563,6.7220343,Soup - Campbells Bean Medley,4
1FJHEK8p7pbBCYNYXPJK6ci35XaPF58GXY,Currey,Dudill,2017/06/09,Male,83.16,ba94bc05bb4d6e26ee0f5940b44ed3ab,59.6637076,16.5305978,Pork - Smoked Back Bacon,3
1B1oF7RUwqVahCw9yxPV7WbUteX7915axG,Illa,Clegg,2018/07/01,Female,102.9,d8ec008c84cd818f72c11717964d14c6,-8.1384242,112.0804259,Ecolab - Power Fusion,4
1CesbDiXLHromTjjMe3ifvvo47YyzpsjWz,Wilmar,Straniero,2018/06/14,Male,99.45,a9e9c892230e9fba56d03c956070837a,42.2253803,-83.3415334,Tomatoes Tear Drop Yellow,4
126ntSxpbRGPiSjPpa9ja8GN9T5d9zXujy,Scotti,Lippo,2018/06/07,Male,225.32,f0610a2052ca1d3637361b42d378d969,34.352865,62.2040287,"Arctic Char - Fresh, Whole",2
1Cdb2CbEWBhdfM6f2VaiaxMPL99C9YRh1u,Dominique,Bruneau,2017/10/07,Female,146.29,503f774576477689e7f50936e1d964da,4.1728946,-74.9501034,Chinese Foods - Cantonese,5
