age,birthday,zip,city
24,3/22/1982,70052,Adoamalu
45,4/15/1991,77601,Somepufad
58,1/29/1956,99244,Muhejcab
23,1/9/1967,11846,Bitheuli
18,5/23/1963,86903,Ruziffor
35,8/7/1997,27040,Ejapovodo
31,12/3/1996,13321,Berapizam
37,5/2/1991,81671,Saggeub
26,9/24/1959,95581,Cigkesah
45,3/25/1980,77594,Koveus
35,6/30/1988,91047,Nuuzte
40,4/14/1968,46524,Uczaja
39,5/13/1975,19801,Githiznob
23,9/25/1989,82620,Wewkabkim
18,3/17/1964,79747,Vezonave
48,2/17/1989,06611,Nurgazbe
33,4/11/1971,93393,Iwtukmad
28,1/31/1976,18158,Oweziri
51,4/8/2000,70791,Atozibin
36,8/3/1976,02488,Toruzreb
35,10/22/1976,26661,Kesagrom
51,5/19/1972,67487,Piguffe
30,9/22/1968,16271,Momlutpak
45,1/13/1972,66091,Hoscobuh
58,11/3/1993,70673,Gutkucu
58,4/5/1953,27447,Cutafcoj
27,10/18/1973,65233,Resdejul
41,2/21/1953,88715,Nivowna
54,6/9/1971,11755,Kevoeno
25,5/12/1996,81061,Noogaf
28,12/15/1970,21633,Koksanku
36,12/1/1975,47701,Zehtizib
52,1/25/1966,82470,Suvoromur
48,7/15/1965,14439,Bicovnoz
22,9/25/1974,29105,Hujpaha
56,8/11/1972,43013,Ogpimoc
48,4/9/1974,03982,Lezriben
33,4/14/1968,61386,Zatifahoj
54,8/5/1970,32853,Hamiak
35,2/10/1974,16031,Socnusi
35,8/11/1987,56721,Mofobuk
18,11/4/1977,78537,Kafure
22,4/15/1955,95188,Cevpuson
18,2/12/1958,60785,Fijaru
56,2/26/1964,27468,Luileeri
41,2/7/1967,43658,Zupoak
63,5/26/1956,25889,Weonuju
40,2/15/1953,34498,Pegaej
22,12/24/1958,11263,Uwgasef
24,6/29/1957,49206,Idganej
41,10/8/1970,11582,Iztavuz
27,6/1/1974,84001,Adcubip
18,9/12/1974,15317,Ejwaug
64,5/14/1993,89805,Kutniatu
47,3/22/1973,15974,Wawobe
26,5/5/1981,74958,Wopaic
64,9/22/1987,63220,Geihip
46,6/4/1963,23728,Dofjihto
43,6/16/1959,87977,Peezsah
21,7/5/1974,35347,Edaofwet
65,2/27/1998,52364,Cafesem
30,1/20/1992,66947,Beetauk
53,4/23/1966,06613,Cuheno
41,9/6/1968,42010,Awetumaj
30,9/24/2000,28278,Fofitab
40,8/11/1965,87782,Ulawitiv
63,12/3/1994,57331,Huizte
62,11/9/1963,97432,Maruwuno
35,7/6/1972,75475,Naniil
23,11/14/1976,46884,Amasagi
35,11/11/1977,82426,Sasofab
59,11/23/1989,61994,Rauzoba
39,6/4/1968,47961,Dadieje
34,4/11/1976,15174,Matbuzjo
